geometry,category,handle,status,bedrijfstoestand,functie,subnettype,eigenaar,beheerder,datum_aanleg,netgekoppeld,bovengronds,asset_id,feature_id
POINT (5.6088371 51.3170688),LSmof,487F,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,2023-08-22,Ja,Nee,{00000000-0000-0000-0000-000000000000},_8921B4C6-030D-4CCA-A6C5-C75480D7CB1B
POINT (5.6088361 51.3170730),LSmof,488C,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,2023-08-22,Ja,Nee,{00000000-0000-0000-0000-000000000000},_9B7950C4-1936-44F3-B624-6EB173615D91
POINT (5.6096714 51.3163389),LSmof,4899,BESTAAND,IN BEDRIJF,AFTAK SPLITSEND,AANSLUITNET,Netbeheerder,Netbeheerder,1971-06-14,,Nee,{00000000-0000-0000-0000-000000000000},_CEDD2966-0EB6-44A2-97EC-2FBB7259D161
POINT (5.6168374 51.3189359),LSmof,48A6,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_E49E9D2A-47D7-41F1-A3DD-158E3CC1A7FF
POINT (5.6165993 51.3184291),LSmof,48B3,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_1FD54627-8679-4B30-9AC5-3D1612B81BE5
POINT (5.6169967 51.3181135),LSmof,48C0,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_463E1B08-A334-426A-BC9C-789BB89E80CE
POINT (5.6169210 51.3181029),LSmof,48CD,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_BD85F425-F040-4903-9FB3-C77799C5A703
POINT (5.6162843 51.3180176),LSmof,48DA,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_824B80ED-F40E-46BC-B5FB-E1CE1A70E933
POINT (5.6167880 51.3180175),LSmof,48E7,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_F0E12152-171A-4029-8D56-B6FB0C7E4CB0
POINT (5.6167762 51.3179980),LSmof,48F4,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_77F2A86B-CC3D-4B53-865F-FF5BD9617E99
POINT (5.6167912 51.3180226),LSmof,4901,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_8A58162B-79B5-45A2-9E8F-538ED60020EC
POINT (5.6167463 51.3179484),LSmof,490E,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_2694C97E-B881-470B-80A6-A5D80B934B6E
POINT (5.6167171 51.3178999),LSmof,491B,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_A24C9CB3-AFC2-4776-90AE-6C73CA26EA7A
POINT (5.6167174 51.3179004),LSmof,4928,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_862F1800-633C-4977-A58E-AE5EC9F39371
POINT (5.6166941 51.3178618),LSmof,4935,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_CD5F9A8F-7AAA-4F4E-853D-B8332CD64AA0
POINT (5.6166763 51.3178323),LSmof,4942,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_918CE955-EE3D-4422-946F-6A1BD3DEF62F
POINT (5.6166616 51.3178079),LSmof,494F,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_4399754B-834F-4572-8AE1-DD845C33F120
POINT (5.6166359 51.3177654),LSmof,495C,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_3F616E4E-72D7-4BA0-96E8-331D8C55E266
POINT (5.6166027 51.3177102),LSmof,4969,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_5E2EAFCA-8353-4642-BC34-0BD245B5B17A
POINT (5.6166013 51.3177080),LSmof,4976,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_FB063112-7814-4297-9360-7F652D24F768
POINT (5.6165694 51.3176550),LSmof,4983,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_6B0BB48D-0CF0-44BE-BBF2-097E72AA4505
POINT (5.6165663 51.3176499),LSmof,4990,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_8760A0A9-9AC1-4E62-A1EE-C8757C9CDA59
POINT (5.6165245 51.3175679),LSmof,499D,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_6732AD54-6689-4CD3-9330-ABD2905C0A1E
POINT (5.6165219 51.3175183),LSmof,49AA,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_E2936DBC-34F1-4058-B224-200C4118D709
POINT (5.6165251 51.3174929),LSmof,49B7,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_82EDF650-285F-490E-8EB8-1FB82641439C
POINT (5.6165212 51.3174302),LSmof,49C4,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_898472DF-F0DF-46F5-AECE-3A42BB246AA4
POINT (5.6165199 51.3174249),LSmof,49D1,BESTAAND,IN BEDRIJF,AANSLUIT AFTAK,DISTRIBUTIE,Netbeheerder,Netbeheerder,,Ja,Nee,{00000000-0000-0000-0000-000000000000},_D9E12921-CA70-47A5-8291-38C272A2F034
