geometry,category,handle,status,bedrijfstoestand,functie,subnettype,eigenaar,beheerder,datum_aanleg,netgekoppeld,bovengronds,asset_id,feature_id
POINT (5.6088630 51.3170713),LSoverdrachtspunt,5A45,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_2AE9BA2B-4D82-4B70-8984-54F0CE7B7F54
POINT (5.6095829 51.3164713),LSoverdrachtspunt,5A52,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_69665440-168F-4D95-95A2-EFDDD2A2C1D6
POINT (5.6096519 51.3163353),LSoverdrachtspunt,5A5F,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_A6342E76-4D6E-4DBA-AE9E-DD30791DFE17
POINT (5.6170207 51.3187236),LSoverdrachtspunt,5A6C,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_2C654758-24FB-4F70-9F58-B0DD3BF4DB39
POINT (5.6170296 51.3182493),LSoverdrachtspunt,5A79,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_126E960E-1841-478E-8382-F129B5222937
POINT (5.6169008 51.3182344),LSoverdrachtspunt,5A86,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_AAD1618E-8DD0-4295-978B-87796A4FB68C
POINT (5.6167745 51.3182100),LSoverdrachtspunt,5A93,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_A48872DB-07EB-4BF6-A549-8DCDDE600A01
POINT (5.6166683 51.3181612),LSoverdrachtspunt,5AA0,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_75C66398-0F81-49A6-BD9A-BFA5614F0F5E
POINT (5.6165569 51.3179868),LSoverdrachtspunt,5AAD,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_3DCBD44D-B70F-4DF5-AB91-2671D2F466E8
POINT (5.6169070 51.3179501),LSoverdrachtspunt,5ABA,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_DF43EC73-83B5-4091-A891-4A7EEEF016DF
POINT (5.6168466 51.3178959),LSoverdrachtspunt,5AC7,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_61F34A20-D70A-4219-A9FA-C1A1268E9743
POINT (5.6167922 51.3177797),LSoverdrachtspunt,5AD4,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_15DAEF71-C21A-40E3-ADD4-23D4B57647AB
POINT (5.6167436 51.3176960),LSoverdrachtspunt,5AE1,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_D59D7DB5-80BF-493A-A2AA-53BFB8923465
POINT (5.6164485 51.3178081),LSoverdrachtspunt,5AEE,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_17B62A66-B1B3-4F33-A570-8286BC7F9F5E
POINT (5.6165565 51.3179154),LSoverdrachtspunt,5AFB,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_ACD59F75-9B62-4444-8DA3-14309181369B
POINT (5.6164539 51.3177456),LSoverdrachtspunt,5B08,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_D1E15314-A8B4-4365-9C63-B52ECE69858F
POINT (5.6163282 51.3176099),LSoverdrachtspunt,5B15,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_73332F6A-C2FA-4DE6-8C75-FBC7C1F0AC97
POINT (5.6166757 51.3175156),LSoverdrachtspunt,5B22,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_873F26C5-97AC-4EFC-91D1-BAD370646294
POINT (5.6163227 51.3175295),LSoverdrachtspunt,5B2F,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_A6FD73D1-3C6A-4765-BD83-0D5483DDF9DE
POINT (5.6162861 51.3174693),LSoverdrachtspunt,5B3C,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_7D125DC6-9793-49F4-A955-D004FD50F774
POINT (5.6167215 51.3175997),LSoverdrachtspunt,5B49,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_C52CCE53-B660-4B70-B73F-10DE913508AD
POINT (5.6166729 51.3174049),LSoverdrachtspunt,5B56,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_75088865-EEEF-4F1D-A505-08C5B4C96BE6
POINT (5.6166574 51.3173412),LSoverdrachtspunt,5B63,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_3D51730B-F70F-4FDC-B700-2446DD1805A4
POINT (5.6132761 51.3183590),LSoverdrachtspunt,5B70,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_7B4DB828-276C-4F7E-B61E-771EBA236907
POINT (5.6134421 51.3181480),LSoverdrachtspunt,5B7D,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_B6815037-FA80-4542-A67C-23D0065006AA
POINT (5.6135590 51.3180039),LSoverdrachtspunt,5B8A,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_7D875519-907E-4871-A19F-E49AEDFFF966
POINT (5.6136856 51.3178408),LSoverdrachtspunt,5B97,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_F6885CB3-CECF-42E7-9C65-D1C157E9C897
POINT (5.6138001 51.3176853),LSoverdrachtspunt,5BA4,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_A0C4E425-A6E2-455D-B06D-D40E0B7D378D
POINT (5.6139178 51.3175311),LSoverdrachtspunt,5BB1,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_02479083-3495-4ED7-A458-BF9FF50D8900
POINT (5.6140304 51.3173840),LSoverdrachtspunt,5BBE,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_78DDE4B5-B9A8-4ADB-9AD8-AAB2B2DF49AF
POINT (5.6105787 51.3190196),LSoverdrachtspunt,5BCB,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_BE80C06E-B17F-4671-A066-1409156544B4
POINT (5.6102377 51.3189219),LSoverdrachtspunt,5BD8,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_D262C34A-0D69-4783-A27E-0A1A1D0CBC70
POINT (5.6104068 51.3164159),LSoverdrachtspunt,5BE5,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_5DB7E0E3-1404-41F9-BE2E-90464158F984
POINT (5.6103888 51.3161573),LSoverdrachtspunt,5BF2,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_E5520E0F-6435-4F95-912C-4C1C622FC54A
POINT (5.6107380 51.3161779),LSoverdrachtspunt,5BFF,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_78BA2E22-29DA-4946-B4B4-BFFEC7822851
POINT (5.6103260 51.3160444),LSoverdrachtspunt,5C0C,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_14A37D28-B294-4C3C-9923-28ED003AB997
POINT (5.6133636 51.3165921),LSoverdrachtspunt,5C19,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_E3E8DEE5-6E53-4D5A-A0C8-84384A82AF60
POINT (5.6129391 51.3165184),LSoverdrachtspunt,5C26,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_97111901-BDAA-4211-927B-A3870830D0A9
POINT (5.6129535 51.3164360),LSoverdrachtspunt,5C33,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_F361F7F0-A6D7-4271-A57C-EA608A995415
POINT (5.6129545 51.3164202),LSoverdrachtspunt,5C40,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_072C3F6D-B5E6-4560-8D71-6C8721876549
POINT (5.6129505 51.3163481),LSoverdrachtspunt,5C4D,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_B396244D-680F-42C1-B98E-08A397943612
POINT (5.6129533 51.3162781),LSoverdrachtspunt,5C5A,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_16F8E7FB-E57F-45E1-8EA2-77BB49612C36
POINT (5.6133668 51.3161096),LSoverdrachtspunt,5C67,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_E43CEE35-9ADD-4B9F-8ED7-45D279B00311
POINT (5.6129629 51.3162062),LSoverdrachtspunt,5C74,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_F15484EB-7089-44E3-8F81-85D621945069
POINT (5.6129631 51.3161972),LSoverdrachtspunt,5C81,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_57F1956D-7CF4-4EB6-BF4E-B0DA48DFDB00
POINT (5.6129555 51.3161170),LSoverdrachtspunt,5C8E,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_20EBFF6C-5872-4D68-B52C-87C09FFD9288
POINT (5.6114723 51.3159781),LSoverdrachtspunt,5C9B,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_9616586D-D60C-4B99-A8E1-B2BE723DD67A
POINT (5.6118805 51.3159125),LSoverdrachtspunt,5CA8,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_2C8F01B6-03C9-48BF-BDB7-A6F6C88E6164
POINT (5.6141328 51.3172105),LSoverdrachtspunt,5CB5,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_2F4B7209-3A63-41D4-B584-6C55DD875873
POINT (5.6141962 51.3170198),LSoverdrachtspunt,5CC2,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_C50407CF-54F4-4944-997D-4AEEEC06D7A7
POINT (5.6142866 51.3168819),LSoverdrachtspunt,5CCF,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_3D1B7FD0-B5C0-45F9-A85E-316B8C487972
POINT (5.6147445 51.3166912),LSoverdrachtspunt,5CDC,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_65BA0BA1-1847-4393-8284-E306208BEADE
POINT (5.6143518 51.3167086),LSoverdrachtspunt,5CE9,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_55567499-198A-48EF-8DDA-B278271ACC77
POINT (5.6144001 51.3165333),LSoverdrachtspunt,5CF6,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_3A24BB97-29A7-4A6C-9953-BFCD34AF143C
POINT (5.6157673 51.3167651),LSoverdrachtspunt,5D03,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_26845AA3-95E5-4D12-ADA2-3405B6BB0D7C
POINT (5.6156107 51.3166637),LSoverdrachtspunt,5D10,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_AFC503AE-E53C-40B6-A318-4B3FAC314FCB
POINT (5.6155455 51.3165213),LSoverdrachtspunt,5D1D,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_CD62C468-5049-4282-9B55-E1212C6C2C6A
POINT (5.6154996 51.3163440),LSoverdrachtspunt,5D2A,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_3A9AF252-E6A4-45B6-A802-B95DF786A66A
POINT (5.6150613 51.3160698),LSoverdrachtspunt,5D37,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_7437E903-1D98-438D-8766-34F3198A3BB8
POINT (5.6143990 51.3163188),LSoverdrachtspunt,5D44,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_3FCF6AE3-6FBC-4D3F-90FF-465271A855EC
POINT (5.6144040 51.3162902),LSoverdrachtspunt,5D51,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_852CF5D3-9DA1-4A98-98F0-A991C6C8BFBD
POINT (5.6144500 51.3161822),LSoverdrachtspunt,5D5E,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_516857D4-77F0-44EB-863D-A980DCD975C9
POINT (5.6134331 51.3166110),LSoverdrachtspunt,5D6B,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_57558859-82DF-4725-B05B-F7DF8E072D7A
POINT (5.6135729 51.3166312),LSoverdrachtspunt,5D78,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_CCD26B19-232F-4AD7-87A1-E16674EA39E3
POINT (5.6137263 51.3166643),LSoverdrachtspunt,5D85,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_57449198-2512-45C3-BE77-21DA676D3AEF
POINT (5.6138607 51.3166892),LSoverdrachtspunt,5D92,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_DD302CB8-D48C-4072-B984-35AD076666B5
POINT (5.6142047 51.3160286),LSoverdrachtspunt,5D9F,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_A8C37DCD-BBC6-43DA-8D17-63F1A8C7D59D
POINT (5.6137913 51.3161434),LSoverdrachtspunt,5DAC,BESTAAND,IN BEDRIJF,Huisaansluiting,,Netbeheerder,Netbeheerder,,,,{00000000-0000-0000-0000-000000000000},_A23E430F-04BF-4B03-B996-D39987AB3E3B
